numpy,cupy,dask,jax,pytorch,sparse
"numpy.absolute","cupy.absolute","","absolute","torch.abs",""
"numpy.add","cupy.add","","add","torch.add",""
"numpy.all","cupy.all","all","alltrue","",""
"numpy.allclose","cupy.allclose","allclose","allclose","torch.allclose",""
"numpy.amax","cupy.max","max","max","",""
"numpy.amin","cupy.min","min","min","",""
"numpy.angle","cupy.angle","angle","angle","torch.angle",""
"numpy.any","cupy.any","any","sometrue","",""
"numpy.append","","","append","",""
"numpy.apply_along_axis","","apply_along_axis","","",""
"numpy.apply_over_axes","","apply_over_axes","","",""
"numpy.arange","cupy.arange","arange","arange","torch.range",""
"numpy.arccos","cupy.arccos","arccos","arccos","torch.acos",""
"numpy.arccosh","cupy.arccosh","arccosh","arccosh","",""
"numpy.arcsin","cupy.arcsin","arcsin","arcsin","torch.asin",""
"numpy.arcsinh","cupy.arcsinh","arcsinh","arcsinh","",""
"numpy.arctan","cupy.arctan","arctan","arctan","torch.atan",""
"numpy.arctan2","cupy.arctan2","arctan2","arctan2","torch.atan2",""
"numpy.arctanh","cupy.arctanh","arctanh","arctanh","",""
"numpy.argmax","cupy.argmax","argmax","argmax","torch.argmax",""
"numpy.argmin","cupy.argmin","argmin","argmin","torch.argmin",""
"numpy.argpartition","cupy.argpartition","","","",""
"numpy.argsort","cupy.argsort","","argsort","torch.argsort",""
"numpy.argwhere","","argwhere","","","argwhere"
"numpy.around","cupy.around","round","around","",""
"numpy.array","cupy.array","array","array","torch.tensor",""
"numpy.array2string","","","","",""
"numpy.array_equal","","","","",""
"numpy.array_equiv","","","","",""
"numpy.array_repr","cupy.array_repr","","array_repr","",""
"numpy.array_split","cupy.array_split","","","",""
"numpy.array_str","cupy.array_str","","array_str","",""
"numpy.asanyarray","cupy.asanyarray","asanyarray","","",""
"numpy.asarray","cupy.asarray","asarray","asarray","",""
"numpy.asarray_chkfinite","","","","",""
"numpy.ascontiguousarray","cupy.ascontiguousarray","","","",""
"numpy.asfarray","","","","",""
"numpy.asfortranarray","cupy.asfortranarray","","","",""
"numpy.asmatrix","","","","",""
"numpy.asscalar","","","","",""
"numpy.atleast_1d","cupy.atleast_1d","atleast_1d","atleast_1d","",""
"numpy.atleast_2d","cupy.atleast_2d","atleast_2d","atleast_2d","",""
"numpy.atleast_3d","cupy.atleast_3d","atleast_3d","atleast_3d","",""
"numpy.average","cupy.average","average","","",""
"numpy.bartlett","","","bartlett","torch.bartlett_window",""
"numpy.base_repr","cupy.base_repr","","","",""
"numpy.binary_repr","cupy.binary_repr","","","",""
"numpy.bincount","cupy.bincount","bincount","","torch.bincount",""
"numpy.bitwise_and","cupy.bitwise_and","bitwise_and","bitwise_and","torch.bitwise_and",""
