name,description,signature,url
"cupy.add = <ufunc 'cupy_add'>","Adds two arrays elementwise.","cupy.add = <ufunc 'cupy_add'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.add.html#cupy.add"
"cupy.all","Tests whether all array elements along a given axis evaluate to True.","cupy.all(a\, axis=None\, out=None\, keepdims=False)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.all.html#cupy.all"
"cupy.allclose","Returns True if two arrays are element-wise equal within a tolerance.","cupy.allclose(a\, b\, rtol=1e-05\, atol=1e-08\, equal_nan=False)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.allclose.html#cupy.allclose"
"cupy.amax","Returns the maximum of an array or the maximum along an axis.","cupy.amax(a\, axis=None\, out=None\, keepdims=False\, dtype=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.amax.html#cupy.amax"
"cupy.amin","Returns the minimum of an array or the minimum along an axis.","cupy.amin(a\, axis=None\, out=None\, keepdims=False\, dtype=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.amin.html#cupy.amin"
"cupy.angle = <ufunc 'cupy_angle'>","Returns the angle of the complex argument.","cupy.angle = <ufunc 'cupy_angle'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.angle.html#cupy.angle"
"cupy.any","Tests whether any array elements along a given axis evaluate to True.","cupy.any(a\, axis=None\, out=None\, keepdims=False)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.any.html#cupy.any"
"cupy.arange","Returns an array with evenly spaced values within a given interval.","cupy.arange(start\, stop=None\, step=1\, dtype=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.arange.html#cupy.arange"
"cupy.arccos = <ufunc 'cupy_arccos'>","Elementwise inverse-cosine function (a.k.a. arccosine function).","cupy.arccos = <ufunc 'cupy_arccos'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.arccos.html#cupy.arccos"
"cupy.arccosh = <ufunc 'cupy_arccosh'>","Elementwise inverse of hyperbolic cosine function.","cupy.arccosh = <ufunc 'cupy_arccosh'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.arccosh.html#cupy.arccosh"
"cupy.arcsin = <ufunc 'cupy_arcsin'>","Elementwise inverse-sine function (a.k.a. arcsine function).","cupy.arcsin = <ufunc 'cupy_arcsin'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.arcsin.html#cupy.arcsin"
"cupy.arcsinh = <ufunc 'cupy_arcsinh'>","Elementwise inverse of hyperbolic sine function.","cupy.arcsinh = <ufunc 'cupy_arcsinh'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.arcsinh.html#cupy.arcsinh"
"cupy.arctan = <ufunc 'cupy_arctan'>","Elementwise inverse-tangent function (a.k.a. arctangent function).","cupy.arctan = <ufunc 'cupy_arctan'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.arctan.html#cupy.arctan"
"cupy.arctan2 = <ufunc 'cupy_arctan2'>","Elementwise inverse-tangent of the ratio of two arrays.","cupy.arctan2 = <ufunc 'cupy_arctan2'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.arctan2.html#cupy.arctan2"
"cupy.arctanh = <ufunc 'cupy_arctanh'>","Elementwise inverse of hyperbolic tangent function.","cupy.arctanh = <ufunc 'cupy_arctanh'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.arctanh.html#cupy.arctanh"
"cupy.argmax","Returns the indices of the maximum along an axis.","cupy.argmax(a\, axis=None\, dtype=None\, out=None\, keepdims=False)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.argmax.html#cupy.argmax"
"cupy.argmin","Returns the indices of the minimum along an axis.","cupy.argmin(a\, axis=None\, dtype=None\, out=None\, keepdims=False)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.argmin.html#cupy.argmin"
"cupy.argpartition","Returns the indices that would partially sort an array.","cupy.argpartition(a\, kth\, axis=-1)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.argpartition.html#cupy.argpartition"
"cupy.argsort","Returns the indices that would sort an array with a stable sorting.","cupy.argsort(a\, axis=-1)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.argsort.html#cupy.argsort"
"cupy.around","Rounds to the given number of decimals.","cupy.around(a\, decimals=0\, out=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.around.html#cupy.around"
