url,name,signature,description
"https://docs.scipy.org/doc/numpy/reference/generated/numpy.add.html#numpy.add","numpy.add","numpy.add(x1\, x2\, /\, out=None\, *\, where=True\, casting='same_kind'\, order='K'\, dtype=None\, subok=True[\, signature\, extobj]) = <ufunc 'add'>","Add arguments element-wise."
"https://docs.scipy.org/doc/numpy/reference/generated/numpy.char.add.html#numpy.char.add","numpy.char.add","numpy.char.add(x1\, x2)","Return element-wise string concatenation for two arrays of str or unicode."
"https://docs.scipy.org/doc/numpy/reference/generated/numpy.ma.all.html#numpy.ma.all","numpy.ma.all","numpy.ma.all(self\, axis=None\, out=None\, keepdims=<no value>) = <numpy.ma.core._frommethod object>","Returns True if all elements evaluate to True."
"https://docs.scipy.org/doc/numpy/reference/generated/numpy.all.html#numpy.all","numpy.all","numpy.all(a\, axis=None\, out=None\, keepdims=<no value>)","Test whether all array elements along a given axis evaluate to True."
"https://docs.scipy.org/doc/numpy/reference/generated/numpy.distutils.misc_util.all_strings.html#numpy.distutils.misc_util.all_strings","numpy.distutils.misc_util.all_strings","numpy.distutils.misc_util.all_strings(lst)","Return True if all items in lst are string objects."
"https://docs.scipy.org/doc/numpy/reference/generated/numpy.allclose.html#numpy.allclose","numpy.allclose","numpy.allclose(a\, b\, rtol=1e-05\, atol=1e-08\, equal_nan=False)","Returns True if two arrays are element-wise equal within a tolerance."
"https://docs.scipy.org/doc/numpy/reference/generated/numpy.ma.allclose.html#numpy.ma.allclose","numpy.ma.allclose","numpy.ma.allclose(a\, b\, masked_equal=True\, rtol=1e-05\, atol=1e-08)","Returns True if two arrays are element-wise equal within a tolerance."
"https://docs.scipy.org/doc/numpy/reference/generated/numpy.ma.allequal.html#numpy.ma.allequal","numpy.ma.allequal","numpy.ma.allequal(a\, b\, fill_value=True)","Return True if all entries of a and b are equal\, using fill_value as a truth value where either or both are masked."
"https://docs.scipy.org/doc/numpy/reference/generated/numpy.distutils.misc_util.allpath.html#numpy.distutils.misc_util.allpath","numpy.distutils.misc_util.allpath","numpy.distutils.misc_util.allpath(name)","Convert a /-separated pathname to one using the OS’s path separator."
"https://docs.scipy.org/doc/numpy/reference/generated/numpy.amax.html#numpy.amax","numpy.amax","numpy.amax(a\, axis=None\, out=None\, keepdims=<no value>\, initial=<no value>\, where=<no value>)","Return the maximum of an array or maximum along an axis."
"https://docs.scipy.org/doc/numpy/reference/generated/numpy.amin.html#numpy.amin","numpy.amin","numpy.amin(a\, axis=None\, out=None\, keepdims=<no value>\, initial=<no value>\, where=<no value>)","Return the minimum of an array or minimum along an axis."
"https://docs.scipy.org/doc/numpy/reference/generated/numpy.angle.html#numpy.angle","numpy.angle","numpy.angle(z\, deg=False)","Return the angle of the complex argument."
"https://docs.scipy.org/doc/numpy/reference/generated/numpy.ma.anom.html#numpy.ma.anom","numpy.ma.anom","numpy.ma.anom(self\, axis=None\, dtype=None) = <numpy.ma.core._frommethod object>","Compute the anomalies (deviations from the arithmetic mean) along the given axis."
"https://docs.scipy.org/doc/numpy/reference/generated/numpy.ma.anomalies.html#numpy.ma.anomalies","numpy.ma.anomalies","numpy.ma.anomalies(self\, axis=None\, dtype=None) = <numpy.ma.core._frommethod object>","Compute the anomalies (deviations from the arithmetic mean) along the given axis."
"https://docs.scipy.org/doc/numpy/reference/generated/numpy.ma.any.html#numpy.ma.any","numpy.ma.any","numpy.ma.any(self\, axis=None\, out=None\, keepdims=<no value>) = <numpy.ma.core._frommethod object>","Returns True if any of the elements of a evaluate to True."
"https://docs.scipy.org/doc/numpy/reference/generated/numpy.any.html#numpy.any","numpy.any","numpy.any(a\, axis=None\, out=None\, keepdims=<no value>)","Test whether any array element along a given axis evaluates to True."
"https://docs.scipy.org/doc/numpy/reference/generated/numpy.append.html#numpy.append","numpy.append","numpy.append(arr\, values\, axis=None)","Append values to the end of an array."
"https://docs.scipy.org/doc/numpy/reference/generated/numpy.ma.append.html#numpy.ma.append","numpy.ma.append","numpy.ma.append(a\, b\, axis=None)","Append values to the end of an array."
"https://docs.scipy.org/doc/numpy/user/basics.rec.html#numpy.lib.recfunctions.append_fields","numpy.lib.recfunctions.append_fields","numpy.lib.recfunctions.append_fields(base\, names\, data\, dtypes=None\, fill_value=-1\, usemask=True\, asrecarray=False)","Add new fields to an existing array."
"https://docs.scipy.org/doc/numpy/reference/generated/numpy.distutils.misc_util.appendpath.html#numpy.distutils.misc_util.appendpath","numpy.distutils.misc_util.appendpath","numpy.distutils.misc_util.appendpath(prefix\, path)",""
"https://docs.scipy.org/doc/numpy/reference/generated/numpy.apply_along_axis.html#numpy.apply_along_axis","numpy.apply_along_axis","numpy.apply_along_axis(func1d\, axis\, arr\, *args\, **kwargs)","Apply a function to 1-D slices along the given axis."
"https://docs.scipy.org/doc/numpy/reference/generated/numpy.ma.apply_along_axis.html#numpy.ma.apply_along_axis","numpy.ma.apply_along_axis","numpy.ma.apply_along_axis(func1d\, axis\, arr\, *args\, **kwargs)","Apply a function to 1-D slices along the given axis."
"https://docs.scipy.org/doc/numpy/user/basics.rec.html#numpy.lib.recfunctions.apply_along_fields","numpy.lib.recfunctions.append_fields","numpy.lib.recfunctions.append_fields(base\, names\, data\, dtypes=None\, fill_value=-1\, usemask=True\, asrecarray=False)","Add new fields to an existing array."
